videoId,title,channel,comment
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,한동훈대표님께 감사해야합니다
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,새로운 모습을 보았습니다 기적이 일어날거라 봅니다
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,아이구 답답
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,뭔 권영세 한테 감사하나요~ 화가나네요~ 한동훈님  이 얼마나 바로잡기위해  애썼는데요~~
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,어떻게 해야 할지 모르는 군 왜 어떻게 할 것인지 말해야지
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,"결국 이리될거면서
생난리다진짜~"
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,동지동지  그말좀 그만빼라
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,내귀에는 딱딱 거리는 소리만 들리네요ㅎ
Cx8MeN9iG9E,"김문수, 대선 후보 등록! “기적이 일어났다”… 한덕수 전 총리와 만날 예정",팩트스팟FactSpot,"하룻밤이 불안한 당~
하룻밤이 불안한 나이~~"
Cx8MeN9iG9E,"김문수, 대선 후보 등록! “기적이 일어났다”… 한덕수 전 총리와 만날 예정",팩트스팟FactSpot,승리절대못한다
iDBEVaw7mBI,#리셋코리아 #대선후보등록#김문수 대통령 후보,MARS,승리합시다.자유민주주의 체재 수호 못하면 베네주엘라 직행입니다.
n7Ykax92B0I,"#김문수, 선관위 후보등록…""반드시 당선돼 위대한 나라 만들 것""""당원 투표, 놀라운 기적 일어나…한덕수, 잘 모시겠다""지도부 책임론에 ""선거 며칠 안남아 화합해야, 빅텐트 중요",바람소리 : 진거무선,힘내세요
n7Ykax92B0I,"#김문수, 선관위 후보등록…""반드시 당선돼 위대한 나라 만들 것""""당원 투표, 놀라운 기적 일어나…한덕수, 잘 모시겠다""지도부 책임론에 ""선거 며칠 안남아 화합해야, 빅텐트 중요",바람소리 : 진거무선,"뭐 하나 자연스럽지 않은 등록ᆢ
오물통속 등록ᆢ"
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,극짐 내란당이 보수로보임?  제발좀 보수와 골수의 차이를 생각좀해요. 저들은 골수입니다. 자기이익만 생각하는 골수집합소
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,이제 한덕수는 수사 받고 감방행인가???
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,JTBC ᆢ백다혜앵커님 감사합니다 ️
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,코메디!!!
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,"문수형 내란 당해보니까 기분이 어때?
그래도 오늘까진 응원했다. 재명이형 뽑아야 하니 잘있어."
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,국힘은 당자체가 내란당임을 스스로 공지하는구나!! 해체가 답이다!
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,보수궤멸의 일등곤신 권성동은 사퇴하고 정치판을 떠나라
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,"국짐 개그쇼 끝나서 요세 볼게없음. 
시즌2 해줘요~~~"
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,아나운서 한국사람이내...
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,바퀴들의 대환장파티
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,"그렇게 강경하다가 너무나 순순히 물러나는 게 이상함. 법적으로 위법, 등록 무효인듯"
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,"한덕수 벼슬이 그리도 좋더냐
계엄도 못막은 무능함도 모른체 대선 후보에 욕심을 내다니
참 뻔뻔하고도 뻔뻔하구나
저 권성동이가 문제야!"
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,김문수 지지합니다
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,지가 도대체 뭘했다고 겸험히수용을 하겠다는겨ㅋㅋㅋ
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,한덕수가개덕수되었네
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,아니요. 그냥 대선후보로만 계세요.  여기까지입니다. 덕분에 국짐이 얼마나 비상식적이고 비민주주의인 이기적 집단인지 잘 확인했습니다.
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,한덕수 후보 정말 신사입니다
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,아이고ᆢ나라을위해서ᆢ이재명과ᆢ는김문수는이길수없다 ᆢ이변이없는한ᆢ이이고ᆢ
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,이재명 정치생명 퇴출
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,김문수를 도와서 또 호남가서 외쳐라~~저도 호남 사람 입니다~~
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,"당 내규에 의해 상당한 이유가 있다고 김문수의 후보직을 박탈 한 거고, 그래서 빈 후보직에 한덕수만을 대상으로 전 당원 찬반 투표를 한 것 아님? 
반대가 많다면 국힘은 다시 합법적 후보 선출 과정을 거쳐야만 한다."
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,우리나라 대통령은 경상도 사람만이 될수 있다
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,덕수야 그건 수용이 아니라 불가능한거야... 무소속 출마하던가 ㅋㅋㅋ 애초에 선거밥 위반임
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,김문수가 대선후보 ㅋㅋㅋㅋㅋㅋ 잘돌아간다 참
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,한덕수자격있나
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,ㅎㅎㅎㅎ 기가찬다 꼰대들
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,한떡수....어떠한 평가나 논할 가치도 없는 사람.....불상하다.
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,덕수  방먹을  일만남았네
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,그냥 쇼였노
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,쌍권은 탈당해야지
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,장어 덕수가 일장춘몽을 꿨네..
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,떡수는 당비 1만원 찾아가길 바란다.
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,최아영 어디서 점을 본거야  그리고  남편 얼굴보니 안보이디 총리가 마지막이라고 에효
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,긍께 떡수야 뭘 믿고 뻗덴겨 왜?당원을 팔어?정신 상태가 현 집권당상태가 영 메롱을 넘었스
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,"김문수 후보에 진통 고생 많으셨습니다 
반드시 대통령 당선 되길 기원합니다"
