videoId,title,channel,pub_date,counts,likes_count,comment_count,url,comment
TZCJmZUkl3U,이재명 후보 방문 전남 화순 시내 마비 현장 #이재명 #진짜대한민국 #이제는이재명 #경청투어,미디어쇼츠 ,2025-05-11T02:08:08Z,6874.0,620.0,21.0,https://www.youtube.com/watch?v=TZCJmZUkl3U,고인돌 정형외과  광고효과 쥑이네
TZCJmZUkl3U,이재명 후보 방문 전남 화순 시내 마비 현장 #이재명 #진짜대한민국 #이제는이재명 #경청투어,미디어쇼츠 ,2025-05-11T02:08:08Z,6874.0,620.0,21.0,https://www.youtube.com/watch?v=TZCJmZUkl3U,경호 높은대 올러거지마세요 제발좀요
TZCJmZUkl3U,이재명 후보 방문 전남 화순 시내 마비 현장 #이재명 #진짜대한민국 #이제는이재명 #경청투어,미디어쇼츠 ,2025-05-11T02:08:08Z,6874.0,620.0,21.0,https://www.youtube.com/watch?v=TZCJmZUkl3U,제발 조심해 주세요 ㅜ
TZCJmZUkl3U,이재명 후보 방문 전남 화순 시내 마비 현장 #이재명 #진짜대한민국 #이제는이재명 #경청투어,미디어쇼츠 ,2025-05-11T02:08:08Z,6874.0,620.0,21.0,https://www.youtube.com/watch?v=TZCJmZUkl3U,"역시  민주주의는
전남전북 최고수준
든든합니다
전국적으로
압도적으로 필승"
tsFaq-iVXwM,이재명후보골목경청투어전남화순방문25.5.11일오전10시,7학년,2025-05-11T01:27:47Z,29707.0,47.0,1.0,https://www.youtube.com/watch?v=tsFaq-iVXwM,호남은 자가발전해도 충분한 곳이니 정청래는 경북이나 충청도를 누벼라!!!
a1bR4FJUuC4,🔴[LIVE] 더불어민주당 이재명 대선 후보 전남 화순군 방문 / '텃밭' 전남서 경청투어 마무리 25.05.11 | MBN NEWS,MBN News,2025-05-11T00:53:15Z,1331.0,27.0,15.0,https://www.youtube.com/watch?v=a1bR4FJUuC4,역시 이재명이다
a1bR4FJUuC4,🔴[LIVE] 더불어민주당 이재명 대선 후보 전남 화순군 방문 / '텃밭' 전남서 경청투어 마무리 25.05.11 | MBN NEWS,MBN News,2025-05-11T00:53:15Z,1331.0,27.0,15.0,https://www.youtube.com/watch?v=a1bR4FJUuC4,청렴하고 자상한 이재명대표님 반갑습니다 철저한 경호부탁해요
a1bR4FJUuC4,🔴[LIVE] 더불어민주당 이재명 대선 후보 전남 화순군 방문 / '텃밭' 전남서 경청투어 마무리 25.05.11 | MBN NEWS,MBN News,2025-05-11T00:53:15Z,1331.0,27.0,15.0,https://www.youtube.com/watch?v=a1bR4FJUuC4,어차피 인원 동원된거. 부정선거나 없애.정청내 얼굴봐
a1bR4FJUuC4,🔴[LIVE] 더불어민주당 이재명 대선 후보 전남 화순군 방문 / '텃밭' 전남서 경청투어 마무리 25.05.11 | MBN NEWS,MBN News,2025-05-11T00:53:15Z,1331.0,27.0,15.0,https://www.youtube.com/watch?v=a1bR4FJUuC4,투표도둑질 반대요
a1bR4FJUuC4,🔴[LIVE] 더불어민주당 이재명 대선 후보 전남 화순군 방문 / '텃밭' 전남서 경청투어 마무리 25.05.11 | MBN NEWS,MBN News,2025-05-11T00:53:15Z,1331.0,27.0,15.0,https://www.youtube.com/watch?v=a1bR4FJUuC4,청렴하고 자상한 이재명대표님 반갑습니다 철저한 경호부탁해요
a1bR4FJUuC4,🔴[LIVE] 더불어민주당 이재명 대선 후보 전남 화순군 방문 / '텃밭' 전남서 경청투어 마무리 25.05.11 | MBN NEWS,MBN News,2025-05-11T00:53:15Z,1331.0,27.0,15.0,https://www.youtube.com/watch?v=a1bR4FJUuC4,청렴하고 자상한 이재명대표님 반갑습니다 철저한 경호부탁해요
vcYoF0eZDBY,"[생중계] '경청투어' 이재명 민주당 대선 후보, 전남 사의재 방문 (2025.05.11 오후)",오마이TV,2025-05-11T03:57:04Z,13011.0,1172.0,13.0,https://www.youtube.com/watch?v=vcYoF0eZDBY,"이재명 후보님  제발  외부 유세 이제 그만해주십시요ㅜㅜ
신변보호 끝까지 잘하셔야 나라와  국민을 지켜주시죠...ㅜㅜ 너무 불안하고 걱정됩니다ㅜㅜ
지금 이 나라는 당신아니면 회생할수없습니다."
vcYoF0eZDBY,"[생중계] '경청투어' 이재명 민주당 대선 후보, 전남 사의재 방문 (2025.05.11 오후)",오마이TV,2025-05-11T03:57:04Z,13011.0,1172.0,13.0,https://www.youtube.com/watch?v=vcYoF0eZDBY,"최진봉이 목사냐?
전광훈이와 같은 부류? 이런 인간이 목사에 탈을쓰고 정치질하냐?"
_pTr3s6fuc8,공식 선거운동 하루 앞두고 이재명 전남 방문 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,2025-05-10T22:19:00Z,586.0,7.0,3.0,https://www.youtube.com/watch?v=_pTr3s6fuc8,요셉이 공장에 일해었대. 전남은 면사무소와 보건소 있었잖아.
_pTr3s6fuc8,공식 선거운동 하루 앞두고 이재명 전남 방문 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,2025-05-10T22:19:00Z,586.0,7.0,3.0,https://www.youtube.com/watch?v=_pTr3s6fuc8,이재명 끝낫다  ㆍ김문수 대통령 당선이   확실시된다
_pTr3s6fuc8,공식 선거운동 하루 앞두고 이재명 전남 방문 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,2025-05-10T22:19:00Z,586.0,7.0,3.0,https://www.youtube.com/watch?v=_pTr3s6fuc8,깜빵 가기전에 많이 놀러 다니세요
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,아무리 좌우를 가리지 않는다지만 사람은 가려야지
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,막가파 건달조폭같은 인간이 무슨 나라를 다스린다고  무상연애 나많이하셔
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,"참  긴 시간을 돌아왔네요.
부디 건승을 빕니다."
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,홍은 인정하자..
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,"가릴건 가리자구요
손바닥 뒤집듯 바뀌는 존재는
또바뀝니다
사람은  고쳐쓰는게 이니잔아요
머리속엔 자신의 권력욕 밖에 없으니까"
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,당이라도살릴것같음 한덕수는 당장사퇴하고 쌍권과지도부들은 지금부터라도 잘못했다고 빌어라~ 불법정치.불법공작.불법 당내란 불법공조.불법내란.불법여론조사~
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,범죄자가 가용 가능한 수단과 방법 총동원
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,미쳤어!!!ㅋ  야당에서 보수한테 전화?  ㅋㅋㅋㅋ  ㅋㅋㅋㅋ
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,"홍 지지자들 가져오려고 뱀의 혀 나불대네 ㅋ그 사이에 경제공부나 더 하시길
호텔망하게하는 경제논리에 기가찼음.."
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,야 홍준표 이름 올리지 마라 너랑 겸상할 분아니시다
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,홍준표 이름이 이재명씨 입에서 나오는게 별로 좋은 전략같아 보이진 않네요..ㅎㅎ
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,같이 할 길 찾아야 한다니깐 진짜 찾는줄 알더라
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,지금은 이재명!
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,숟가락 얹고있네 찢어질
