분석 대상,영상 수,전체 댓글 수,평균 댓글 길이,평균 댓글 수(영상별),평균 조회수,평균 좋아요 수,평균 댓글 수(메타 기준)
김문수,35,766,34.41,21.8,44798.63,1090.67,40.19
이재명,35,988,37.14,28.09,35405.97,2342.53,111.06
