videoId,title,channel,pub_date,counts,likes_count,comment_count,url
D2gWf9H9wDk,"국힘, 한덕수 하차?! 당원 투표 부결로 김문수 즉시 자격 회복... #쇼츠뉴스 #단신뉴스 #국민의힘 #한덕수 #김문수",소소상,2025-05-11T01:31:31Z,1425,9,0,https://www.youtube.com/watch?v=D2gWf9H9wDk
xZQkUclQyMY,김문수 후보 등록 완료 승리로 보답 하겠다!,냥냥사랑,2025-05-11T01:32:16Z,7868,1001,88,https://www.youtube.com/watch?v=xZQkUclQyMY
mx7SRG8kuC0,"[🔴속보] '기사회생' 김문수, 국민의힘 대선 후보 등록 ""막중한 책임…반드시 당선돼 위대한 대한민국 만들 것""｜""지도부 방향 강하게 작용했지만 이겨내""",연합뉴스TV,2025-05-11T01:25:22Z,2459,43,3,https://www.youtube.com/watch?v=mx7SRG8kuC0
to5YoykEBIc,김문수 국힘 후보 등록,건정소,2025-05-11T01:18:00Z,9907,438,9,https://www.youtube.com/watch?v=to5YoykEBIc
unymhTj8epo,김문수 대선 후보 등록 완료…한덕수와 손잡고 ‘국난 극복’ 선언,shortoryvibe,2025-05-11T01:06:36Z,825,16,0,https://www.youtube.com/watch?v=unymhTj8epo
g-Iv7gIR5M8,투사 김문수후보 - 중앙선거관리위원회 후보등록,상진,2025-05-11T00:56:27Z,45537,8089,56,https://www.youtube.com/watch?v=g-Iv7gIR5M8
uuAXsaYISTU,후보 변경 당원 찬반투표에서 부결. 김문수 오늘 후보 등록,예능하나,2025-05-11T00:48:34Z,27233,776,4,https://www.youtube.com/watch?v=uuAXsaYISTU
zv2Mrho0XtM,"[스팟Live] 후보 등록 마친 김문수, 한덕수 접견 생중계 | 25.05.11",뉴스핌TV,2025-05-11T00:47:44Z,17941,2784,0,https://www.youtube.com/watch?v=zv2Mrho0XtM
jLe_j7MsAvg,(속보) 국힘당 김문수 오늘 후보 등록! 한덕수 국민께 마지막 인사! 하룻밤 사이에 또 바뀌었다!,바꿀수만있다면TV,2025-05-11T00:44:16Z,606,50,15,https://www.youtube.com/watch?v=jLe_j7MsAvg
qpOW7S3Bcaw,🔴LIVE 김문수 국민의힘 대통령후보 등록 / 이 시각 중앙선관위 / 25.5.11 / KNN,KNN NEWS,2025-05-11T00:41:04Z,818,76,15,https://www.youtube.com/watch?v=qpOW7S3Bcaw
Xv9gWBmc8AI,"[현장연결] 국민의힘 김문수 직접 후보 등록…""반드시 당선돼 위대한 나라 만들 것"" / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,2025-05-11T00:39:45Z,10835,533,157,https://www.youtube.com/watch?v=Xv9gWBmc8AI
AaBTM6jWTSc,"국힘, 기습 후보 교체 실패 김문수 대선 후보 등록",정치썰전,2025-05-11T00:36:58Z,947,0,3,https://www.youtube.com/watch?v=AaBTM6jWTSc
oTOcpPjh8dg,"국민의힘 대선 후보 등록 완료한 김문수 ""과거 책임 묻기보다는 광폭의 빅텐트로 국민통합이 중요할때""",시사포커스TV,2025-05-11T00:27:38Z,21058,2485,552,https://www.youtube.com/watch?v=oTOcpPjh8dg
U6OPBdpvFD4,"[🔴속보] 김문수, 오늘 공식 후보 등록…국힘 ""당 지도부, 정치적으로 다 함께 책임 질 것"" / 연합뉴스TV(YonhapnewsTV)",연합뉴스TV,2025-05-11T00:23:20Z,95351,1343,5,https://www.youtube.com/watch?v=U6OPBdpvFD4
_a019vMOLaE,"[국민의힘] 김문수, 선관위서 '국민의힘 대선 후보' 등록",BBfa,2025-05-11T00:21:17Z,1764,22,0,https://www.youtube.com/watch?v=_a019vMOLaE
UH1T0KQ30YI,김문수 후보!선관위에 대통령후보 등록!!,이수옥TV,2025-05-11T00:17:41Z,100,14,3,https://www.youtube.com/watch?v=UH1T0KQ30YI
